herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
"SUNY, C. Brockport, The",604,35.39,1926
"U. Puerto Rico, Humacao",605,35.29,1897
Northern Michigan U.,606,35.18,1889
Oberlin C.,607,35.07,1876
Southern Utah U.,608,34.96,1875
Erikson Institute,609,34.86,1835
Heidelberg U.,610,34.75,1820
Norwich U.,611,34.64,1819
"Colorado State U., Pueblo",612,34.54,1816
"State U. New York at Geneseo, The",613,34.43,1805
Franklin W. Olin C. Engineering,614,34.32,1800
Claflin U.,615,34.21,1783
U. North Georgia,616,34.11,1761
United Tribes Technical C.,617,34.0,1756
Babson C.,618,33.89,1751
Biola U.,619,33.79,1743
Lincoln Memorial U.,620,33.68,1726
Andrews U.,621,33.57,1709
Dickinson C.,622,33.46,1698
Texas A&M U.-Central Texas,623,33.36,1692
Pratt Institute,624,33.25,1674
U. Portland,625,33.14,1660
Arcadia U.,626,33.04,1623
U. Wisconsin-Platteville,627,32.93,1609
"U. Ana G. Mendez, Gurabo",628,32.82,1599
"Saint John's U., Collegeville",629,32.71,1597
"U. South Carolina, Aiken",630,32.61,1582
Hartford Seminary,631,32.5,1572
Liberty U.,632,32.39,1570
Northland C.,633,32.29,1558
"Pennsylvania State U., The, Altoona",634,32.18,1536
St. Edward's U.,635,32.07,1518
Eckerd C.,636,31.96,1515
C. Saint Benedict,637,31.86,1500
"U. Hawaii Community Colleges, Maui C.",638,31.75,1491
"York C., City U. New York",639,31.64,1485
St. Olaf C.,640,31.54,1480
West Virginia School of Osteopathic Medicine,641,31.43,1470
Drake U.,642,31.32,1466
Saint Mary's U. Minnesota,642,31.32,1466
Willamette U.,644,31.11,1465
Kenyon C.,645,31.0,1464
National U. Natural Medicine,646,30.89,1459
"State U. New York, The, Plattsburgh",647,30.79,1457
"U. Virginia's C., Wise",648,30.68,1445
New C. Florida,649,30.57,1435
"U. Maine, The, Farmington",649,30.57,1435
"Wheaton C., Wheaton",649,30.57,1435
Adelphi U.,652,30.25,1420
Eastern Kentucky U.,653,30.14,1418
U. Scranton,654,30.04,1412
Eastern Connecticut State U.,655,29.93,1403
Roosevelt U.,656,29.82,1398
Robert Morris U.,657,29.71,1371
"U. North Carolina, General Administration",658,29.61,1362
Scripps C.,659,29.5,1333
Graduate School of the Stowers Institute for Medical Research,660,29.39,1313
"Loyola U., Maryland",661,29.29,1296
U. Mary Washington,662,29.18,1291
Butler U.,663,29.07,1282
"C. Wooster, The",664,28.96,1261
Radford U.,665,28.86,1258
Metropolitan State U. Denver,666,28.75,1248
Midwestern State U.,666,28.75,1248
Bluefield State C.,668,28.54,1242
Hult International Business School,669,28.43,1234
U. Puget Sound,670,28.32,1217
Eastern Illinois U.,671,28.21,1201
State U. New York Polytechnic Institute,671,28.21,1201
Weber State U.,673,28.0,1195
California Lutheran U.,673,28.0,1195
Western New England U.,675,27.79,1187
American Samoa Community C.,676,27.68,1178
"State U. New York at Potsdam, The",677,27.57,1177
"Pennsylvania State U., The, Berks",678,27.46,1173
Concord U.,679,27.36,1158
"U. South Carolina, Beaufort",680,27.25,1155
Roanoke C.,681,27.14,1154
Illinois C. Optometry,682,27.04,1149
Juniata C.,683,26.93,1147
Gettysburg C.,684,26.82,1138
"SUNY, Cobleskill",685,26.71,1135
La Salle U.,686,26.61,1125
Indiana State U.,687,26.5,1120
"Montana State U., Billings",688,26.39,1113
Southern C. Optometry,689,26.29,1110
Nicholls State U.,690,26.18,1096
